id_slug,canonical_term,short_definition,long_definition,category,priority,classification,status
artificial-intelligence,Artificial Intelligence (AI),"The use of computers and software to perform tasks that normally require human intelligence, such as understanding language, recognizing patterns, or making decisions.","Artificial intelligence is the broad field of building machines and software that can reason, learn, and act in ways that resemble human cognition. It covers a wide range of techniques, from simple rule-based systems built decades ago to today's large language models and generative AI tools. Not all AI is the same: some systems follow fixed rules (Traditional AI), while others learn patterns from data (Machine Learning). When people say 'AI' today, they usually mean the modern, data-driven kind.",AI 101,1,Non-Technical,active
machine-learning,Machine Learning (ML),"A branch of AI where systems learn patterns from data and improve their performance over time, instead of following rules that a person wrote out explicitly.","Machine learning trains a model on examples (data) so it can make predictions or decisions on new, unseen inputs. Rather than programming every rule by hand, engineers feed the system data and let it find the patterns itself. ML underlies most modern AI capabilities, including recommendation engines, fraud detection, and the neural networks that power large language models. Deep Learning is the specific subset of ML that uses many-layered neural networks and drives most of today's generative AI.",AI 101,1,Non-Technical,active
deep-learning,Deep Learning,A type of machine learning that uses many-layered neural networks to find complex patterns in large amounts of data.,"Deep learning is what made the current wave of AI possible. By stacking many layers of artificial 'neurons,' a deep learning model can automatically discover intricate patterns in images, text, or audio without a person having to define what to look for. It's called 'deep' because of the number of layers involved (sometimes hundreds). Deep learning is the engine behind image recognition, speech-to-text, and large language models.",AI 101,1,Non-Technical,active
algorithm,Algorithm,A set of step-by-step instructions a computer follows to solve a problem or complete a task.,"An algorithm is the basic building block of any software, AI included: a defined sequence of steps for turning an input into an output, like a recipe. In AI, algorithms are what a model uses to learn from data (a 'learning algorithm') and what it uses to make decisions once trained. Not every algorithm involves AI or learning; a simple sorting function is an algorithm too. Understanding this distinction helps when a technical colleague says 'the algorithm' - they may mean anything from a basic rule to a full machine learning model.",AI 101,1,Non-Technical,active
natural-language-processing,Natural Language Processing (NLP),"The field of AI focused on enabling computers to understand, interpret, and generate human language.","NLP is what lets a computer read a sentence and extract meaning from it, or generate a sentence that reads naturally. It covers tasks like translation, sentiment analysis, summarization, and the language understanding built into chatbots and virtual assistants. Large language models are the current state of the art in NLP, but the field predates them by decades and includes simpler techniques still used in production systems today (like keyword-based sentiment scoring).",AI 101,1,Non-Technical,active
generative-ai,Generative AI,"AI that creates new content - text, images, audio, video, or code - rather than just analyzing or classifying existing content.","Generative AI models learn the patterns and structure of huge amounts of training data (books, images, code, etc.) and then use that knowledge to produce new, original outputs that resemble what they were trained on. This is the technology behind tools like ChatGPT, DALL-E, and Midjourney. It's a meaningful shift from 'traditional' AI, which was mostly built to classify, predict, or recommend rather than to create. For product teams, generative AI opens up entirely new categories of feature (drafting, summarizing, image creation) that weren't practical with older AI approaches.",AI 101,1,Non-Technical,active
large-language-model,Large Language Model (LLM),An AI model trained on massive amounts of text so it can understand and generate human-like language.,"LLMs are the technology behind tools like ChatGPT and Claude. They're built on a neural network architecture called a Transformer, trained on enormous text datasets (books, articles, code, web pages) to learn statistical relationships between words and concepts. Given a prompt, an LLM predicts the most likely next words, one at a time, which is how it produces coherent paragraphs, answers questions, or writes code. LLMs don't 'know' facts the way a database does - they generate plausible-sounding text based on patterns, which is why they can hallucinate (state incorrect things confidently).",AI 101,1,Non-Technical,active
artificial-general-intelligence,Artificial General Intelligence (AGI),"A hypothetical future AI that could perform any intellectual task a human can, across any domain, rather than being limited to specific tasks.","AGI is a benchmark, not a product that exists today. Current AI systems (including the most advanced LLMs) are still considered 'narrow' - excellent at specific tasks but lacking the general, flexible reasoning and adaptability of a human. There's no universally agreed-upon definition or test for when AGI has been achieved, and different labs (OpenAI, Google DeepMind) define it somewhat differently. For PMs, AGI is useful mainly as a reference point in industry conversations about how close current models are to human-level general capability - it's more a topic of debate than an engineering spec.",AI 101,1,Non-Technical,active
chatbot,Chatbot,"A computer program that simulates conversation with a human, usually through text or voice.","Chatbots existed long before generative AI (early versions used simple scripted rules), but modern chatbots are typically powered by large language models, which let them hold much more natural, flexible conversations. A chatbot is really an application built on top of an LLM (or older NLP techniques) - the chatbot is the product surface, the LLM is what generates the responses underneath it.",AI 101,1,Non-Technical,active
model,Model,The trained system that takes an input and produces an output - the core 'thing' that has learned from data.,"In everyday conversation, 'model' is often used loosely to mean 'the AI,' but more precisely, a model is the mathematical structure (millions or billions of learned parameters) that resulted from training on data. GPT-5.6, Claude, and Gemini are all examples of specific models. A single product (like ChatGPT) can switch between different underlying models over time. Knowing this distinction helps when engineers talk about 'swapping the model' or 'the model version' - they're talking about the underlying system, not the product interface.",AI 101,1,Non-Technical,active
